1	http://www.stat-nba.com/coach/1.html	R	里克-阿德尔曼	Rick Adelman	1946-06-16 00:00:00	Lynwood, California	Saint Pius X in Downey, California	Loyola Marymount University	23年 5支球队 16次进入季后赛	1791场 1042胜749负 胜率58.2%	157场 79胜78负 胜率50.3%	2次	0个	暂无信息
10	http://www.stat-nba.com/coach/10.html	E	Ed Badger	Ed Badger	1932-11-05 00:00:00	暂无信息	暂无信息	University of Iowa	2年 1支球队 1次进入季后赛	164场 84胜80负 胜率51.2%	3场 1胜2负 胜率33.3%	0次	0个	暂无信息
100	http://www.stat-nba.com/coach/100.html	C	克里斯-福特	Chris Ford	1949-01-11 00:00:00	Atlantic City, New Jersey	Holy Spirit in Absecon, New Jersey	Villanova University	10年 4支球队 4次进入季后赛	699场 323胜376负 胜率46.2%	29场 13胜16负 胜率44.8%	0次	0个	暂无信息
101	http://www.stat-nba.com/coach/101.html	L	劳伦斯-弗兰克	Lawrence Frank	1970-08-23 00:00:00	Teaneck, New Jersey	暂无信息	Indiana University	9年 2支球队 4次进入季后赛	614场 279胜335负 胜率45.4%	38场 18胜20负 胜率47.4%	0次	0个	暂无信息
102	http://www.stat-nba.com/coach/102.html	M	Mike Fratello	Mike Fratello	1947-02-24 00:00:00	Hackensack, New Jersey	Hackensack in Hackensack, New Jersey	Montclair State College	17年 3支球队 11次进入季后赛	1215场 667胜548负 胜率54.9%	62场 20胜42负 胜率32.3%	0次	0个	1次 (85-86赛季)
104	http://www.stat-nba.com/coach/104.html	H	哈里-盖拉汀	Harry Gallatin	1927-04-26 00:00:00	Roxana, Illinois	Roxana in Roxana, Illinois	Truman State University	5年 2支球队 2次进入季后赛	256场 136胜120负 胜率53.1%	23场 12胜11负 胜率52.2%	2次	0个	1次 (62-63赛季)
105	http://www.stat-nba.com/coach/105.html	A	阿尔文-金特里	Alvin Gentry	1954-11-05 00:00:00	暂无信息	Garfield	Appalachian State	15年 5支球队 3次进入季后赛	951场 447胜504负 胜率47.0%	30场 17胜13负 胜率56.7%	0次	0个	暂无信息
106	http://www.stat-nba.com/coach/106.html	E	Edward Gottlieb	Edward Gottlieb	1898-09-15 00:00:00	暂无信息	暂无信息	暂无信息	6年 1支球队 3次进入季后赛	413场 173胜240负 胜率41.9%	7场 1胜6负 胜率14.3%	0次	0个	暂无信息
107	http://www.stat-nba.com/coach/107.html	E	Ed Gregory	Ed Gregory		暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	18场 4胜14负 胜率22.2%	0场	0次	0个	暂无信息
108	http://www.stat-nba.com/coach/108.html	R	里奇-盖伦	Richie Guerin	1932-05-29 00:00:00	New York, New York	Mount Saint Michael in Bronx, New York	Iona College	8年 2支球队 8次进入季后赛	618场 327胜291负 胜率52.9%	60场 26胜34负 胜率43.3%	0次	0个	1次 (67-68赛季)
109	http://www.stat-nba.com/coach/109.html	M	马特-古奥卡斯	Matt Guokas	1944-02-25 00:00:00	Philadelphia, Pennsylvania	暂无信息	Saint Joseph's University	7年 2支球队 2次进入季后赛	535场 230胜305负 胜率43.0%	17场 8胜9负 胜率47.1%	0次	0个	暂无信息
